month,day,names
7,29,Martha;Olaf;Ladislaus;Flora
7,30,Ingeborg;Inga;Petrus
7,31,Ignatius;Joseph;Herrmann
8,1,Alfons;Kenneth;Peter;Uwe
8,2,Eusebius;Adriana;Julian;Julan
8,3,Lydia;August;Nikodemus
8,4,Johannes;Rainer;Reinhard
8,5,Oswald;Maria
8,6,Gilbert
8,7,Cajetan;Afra;Albert
8,8,Dominik;Cyriak;Elgar
8,9,Edith;Altmann;Roman
8,10,Laurenz;Lars;Astrid
8,11,Klara;Philomena;Donald
8,12,Radegunde;Innozenz;Andreas
8,13,Hippolyt;Marko;Cassian
8,14,Meinhard;Maximilian
8,15,Steven
8,16,Stefan;Rochus;Alfried;Stephanie
8,17,Gudrun;Hyazinth;Janine;Clara
8,18,Helena;Rainald;Claudia
8,19,Sebald;Johann;Julius;Bert
8,20,Bernhard;Bernd;Ronald;Samuel
8,21,Pius;Maximilian;Pia
8,22,Regina;Maria;Sigfried
8,23,Rosa;Isolde;Zachäus
8,24,Bartholomäus;Michaela;Isolde
8,25,Ludwig;Elvira;Ebba;Patricia
8,26,Patricia;Miriam;Teresa;Margarita
8,27,Monika;Gebhard;Vivian
8,28,Augustin;Adelinde;Aline;Vivian
8,29,Beatrice
8,30,Felix;Heribert;Rebekka;Alma
8,31,Raimund;Aidan;Paulinus;Anja
9,1,Verena;Ruth;Ägidius
9,2,Ingrid;René;Salomon;Franz
9,3,Gregor;Silvia;Phoebe;Sonja
9,4,Rosalie;Ida;Iris;Irmgard;Sven
9,5,Roswitha;Urs;Hermine
9,6,Magnus;Gundolf;Bertram;Beate
9,7,Regina;Otto;Ralph
9,8,Adrian;Otmar
9,9,Otmar;Edgar;Pedro
9,10,Diethard;Isabella;Carlo;Niels
9,11,Helga;Felix;Regula;Louis
9,12,Maria;Gerfried
9,13,Notburga;Tobias;Johannes
9,14,Albert;Jens
9,15,Dolores;Melitta;Melissa
9,16,Ludmilla;Cornelius
9,17,Hildegard;Robert;Ariane
9,18,Lambert;Herlinde;Rica
9,19,Wilhelmine;Januarius;Thorsten
9,20,Hertha;Eustachius;Candida;Susanna
9,21,Matthäus;Deborah;Jonas
9,22,Mauritius;Emmeram;Gundula
9,23,Linus;Thekla;Gerhild
9,24,Rupert;Virgil;Gerhard
9,25,Klaus;Serge;Irmfried
9,26,Kosmas;Damian;Cosima
9,27,Vinzenz;Hiltrud;Dietrich
9,28,Wenzel;Lioba;Giselher
9,29,Michael;Michaela;Gabriel;Gabriela;Gabi
9,30,Hieronymus;Urs;Victor
10,1,Remigius;Theresia;Werner;Andrea;Emanuel
10,2,Gideon;Bianca;Jacqueline
10,3,Ewald;Udo;Bianca;Paulina
10,4,Franz;Edwin;Aurora;Emma;Thea
10,5,Herwig;Meinolf;Gallina
10,6,Bruno;Adalbero;Melanie;Brunhild;Gerald
10,7,Rosa Maria;Justina;Jörg;Denise;Marc
10,8,Günther;Laura;Hannah;Gerda
10,9,Sibylle;Sara;Dionys;Elfriede
10,10,Viktor;Samuel;Gereon;Valerie
10,11,Alexander;Manuela;Georg
10,12,Maximilian;Horst;Pilár;David
10,13,Koloman;Edward;Andre
10,14,Burkhard;Calixtus;Alan;Otilie
10,15,Theresia;Aurelia;Franziska
10,16,Hedwig;Gallus;Gordon;Carlo
10,17,Rudolf;Marie-Louise;Adelheid
10,18,Lukas;Gwenn;Justus;Viviana
10,19,Frieda;Isaak;Paul
10,20,Wendelin;Ira;Irina;Jessica
10,21,Ursula;Ulla;Celina;Holger
10,22,Cordula;Salome;Ingbert
10,23,Johannes;Severin;Uta
10,24,Anton;Armella;Alois;Aloisia;Victoria
10,25,Ludwig;Lutz;Darja;Hans
10,26,Amandus;Albin;Wieland;Anastacia;Josephine
10,27,Sabina;Wolfhard;Christa;Stefan
10,28,Simon;Thaddäus;Freddy
10,29,Ermelinda;Melinda;Franco;Grete
10,30,Dieter;Alfons;Angelo;Sabine
10,31,Wolfgang;Quentin;Melanie
11,1,Harald
11,2,Angela
11,3,Hubert;Pirmin;Martin;Silvia
11,4,Karl;Karla;Modesta;Charles
11,5,Emmerich;Zacharias;Hardy
11,6,Leonhard;Christine;Nina
11,7,Engelbert;Carina;Willibrord;Tina
11,8,Gottfried;Willehad;Karina
11,9,Theodor;Herfried;Roland;Gregor
11,10,Leo;Andrea;Andreas;Jens;Ted
11,11,Martin;Senta;Mennas;Leonie
11,12,Christian;Kunibert
11,13,Eugen;Stanislaus;Livia;Rene
11,14,Sidonia;Nikolaus;Karl
11,15,Leopold;Leopoldine;Albert;Nikolaus
11,16,Margarita;Otmar;Arthur
11,17,Gertrud;Hilda;Florin;Walter
11,18,Odo;Alda;Roman;Bettina
11,19,Elisabeth;Bettina;Lisa;Roman
11,20,Edmund;Corbinian;Felix;Elisabeth
11,21,Amalie;Amelia;Rufus;Edmund
11,22,Cäcilia;Silja;Salvator;Rufus
11,23,Clemens;Detlef;Columban;Salvator
11,24,Flora;Albert;Chrysogon;Clemens
11,25,Katharina;Kathrin;Katja;Jasmin
11,26,Konrad;Kurt;Anneliese
11,27,Uta;Brunhilde;Albrecht;Ida
11,28,Berta;Jakob;Albrecht
11,29,Friedrich;Friederike;Berta
11,30,Andreas;Andrea;Volkert;Kerstin
12,1,Blanka;Natalie;Eligius
12,2,Bibiana;Lucius;Jan
12,3,Franz Xaver;Jason
12,4,Barbara;Johannes
12,5,Gerald;Reinhard;Niels
12,6,Nikolaus;Denise;Henrike
12,7,Ambros;Farah;Benedikte
12,8,Edith
12,9,Valerie;Liborius;Reinmar
12,10,Emma;Imma;Loretta
12,11,Arthur;Damasus;Tassilo
12,12,Johanna;Hartmann
12,13,Lucia;Ottilia;Jodok;Johanna
12,14,Berthold;Johannes
12,15,Christiane;Nina;Paola
12,16,Adelheid;Heidi;Elke
12,17,Lazarus;Jolanda;Viviana
12,18,Esperanza;Luise;Gratian
12,19,Susanna;Benjamin
12,20,Julius;Holger;Eike
12,21,Ingmar;Ingo;Hagar
12,22,Jutta;Francesca
12,23,Victoria;Johannes
12,24,Adam;Eva
12,25,Anastasia
12,26,Stephan;Stephanie
12,27,Johannes;Fabiola
12,28,John
12,29,David;Tamara;Jessica
12,30,Hermine;Minna;Herma
12,31,Silvester;Melanie
