month,day,names
7,5,Cyril;Metoděj
7,6,Norbert
7,7,Božena
7,8,Edgar
7,9,Radana;Radan
7,10,Libor;Libora
7,11,Olga
7,12,Bořek;Bořislav
7,13,Markéta
7,14,Karolína
7,15,Jindřich;Jindřiška
7,16,Luboš
7,17,Martina;Martin
7,18,Drahomíra;Drahomír
7,19,Čeněk
7,20,Ilja
7,21,Vítězslav;Vítězslava
7,22,Magdaléna;Magda
7,23,Liběna
7,24,Kristýna
7,25,Jakub
7,26,Anna;Hana
7,27,Vlasta
7,28,Viktorie;Viktor
7,29,Božena
7,30,Blažena
7,31,Jaroslava;Jaroslav
8,1,Jaroslav;Jaroslava
8,2,Peter;Petra
8,3,Miluše
8,4,Dominik;Dominika
8,5,Kristián
8,6,Oldřiška;Oldřich
8,7,Lada;Ladislav
8,8,Soběslav;Soběslava
8,9,Roman;Romana
8,10,Vavřinec;Vavřinec
8,11,Zdislava;Zdislav
8,12,Klára
8,13,Alena
8,14,Alan
8,15,Hana;Hanuš
8,16,Jáchym
8,17,Petra;Petronela
8,18,Helena;Jelena
8,19,Ludvík;Ludvík
8,20,Bernard
8,21,Johana;Johanka
8,22,Bohuslav;Bohuslava
8,23,Sandra
8,24,Bartoloměj
8,25,Radim;Radim
8,26,Luděk;Ludvík
8,27,Otakar
8,28,Augustýn;Augusta
8,29,Evelína;Evelín
8,30,Vladěna;Vladan
8,31,Pavla;Pavel
9,1,Ladislava;Ladislav
9,2,Radka;Radomil
9,3,Běla
9,4,Rosa;Róza
9,5,Radoslav;Radoslava
9,6,Boleslav;Boleslava
9,7,Božena
9,8,Marián;Mariána
9,9,Daniela;Daniel
9,10,Irina;Irena
9,11,Denis;Denisa
9,12,Marie;Marika
9,13,Lubor;Lubomír
9,14,Radka;Radomila
9,15,Jolana
9,16,Ludmila;Lída
9,17,Naděžda
9,18,Kryštof
9,19,Zita
9,20,Oleg
9,21,Matouš
9,22,Darina
9,23,Berta
9,24,Jaroslav;Jaroslava
9,25,Zlata;Zlatica
9,26,Andrea
9,27,Jonáš
9,28,Václav;Václava
9,29,Michal;Michaela
9,30,Jarolím;Jeremiáš
10,1,Izabela;Izidora
10,2,Olivie;Oliver
10,3,Bohumil;Bohumila
10,4,František;Františka
10,5,Eliška
10,6,Hanuš;Hanuše
10,7,Justýna;Justýn
10,8,Věra
10,9,Štefan;Štěpánka
10,10,Marina
10,11,Andrej;Ondřej
10,12,Marcela
10,13,Renáta
10,14,Agáta
10,15,Tereza;Terezie
10,16,Galina
10,17,Hedvika;Heda
10,18,Lukáš
10,19,Michaela;Michael
10,20,Vendula
10,21,Brigita
10,22,Sabina
10,23,Teodor;Theodor
10,24,Nina
10,25,Beáta
10,26,Erik
10,27,Šárka
10,28,Stela
10,29,Zdeněk;Zdenka
10,30,Silvie;Silvia
10,31,Saturnin
11,1,Felix
11,2,Pamfili
11,3,Hubert
11,4,Karel;Karla
11,5,Miriam
11,6,Liběna
11,7,Saskie
11,8,Bohumír;Bohumila
11,9,Bohdan;Bohdana
11,10,Evžen;Evženie
11,11,Martin;Martina
11,12,Benedikt
11,13,Tibor
11,14,Sáva
11,15,Leopold
11,16,Otmar
11,17,Mahulena
11,18,Romana;Roman
11,19,Alžběta;Elžběta
11,20,Nikola;Nikolas
11,21,Albert
11,22,Cecílie
11,23,Klement
11,24,Emílie
11,25,Kateřina
11,26,Artur
11,27,Xenie
11,28,René
11,29,Zina
11,30,Ondřej
12,1,Iva
12,2,Zina
12,3,Radan;Radomil
12,4,Barbora;Bára
12,5,Jitka
12,6,Mikuláš
12,7,Benjamín;Ambróz
12,8,Květoslava
12,9,Vlastimila;Vlastimil
12,10,Eva
12,11,Běta;Bětka
12,12,Hana
12,13,Lucie
12,14,Lýdie
12,15,Radana;Radan
12,16,Albína;Albín
12,17,Daniel;Daniela
12,18,Miloslav;Miloslava
12,19,Ester
12,20,Bogdan
12,21,Ignác
12,22,Bohdan;Bohdana
12,23,Vlasta
12,24,Adam;Eva
12,25,Božena
12,26,Štěpán;Štěpánka
12,27,Žaneta
12,28,Bohumila;Bohumil
12,29,Judita
12,30,David
12,31,Silvestr;Silvestra
